Location,PCI_ddir,PCI_dip,Bed_ddir,Bed_dip,Direction,Type,,
1f,347,20,233,20,,Imbrication,,
,313,25,233,20,,Imbrication,,
,287,50,233,20,,Imbrication,,
,307,45,233,20,,Imbrication,,
,306,45,233,20,,Imbrication,,
,333,36,233,20,,Imbrication,,
,2,55,233,20,,Imbrication,,
,10,32,233,20,,Imbrication,,
,310,38,233,20,,Imbrication,,
,152,,233,20,,Imbrication,,
,148,,233,20,,Imbrication,,
,194,,233,20,,Imbrication,,
,210,,233,20,,Imbrication,,
,297,,233,20,,Imbrication,,
,6,25,233,20,,Imbrication,,
,347,23,233,20,,Imbrication,,
,4,,233,20,,Imbrication,,
,260,23,233,20,,Imbrication,???,"Could be bedding, see top of log"
,250,13,233,20,,Imbrication,???,"Could be bedding, see top of log"
